chapter_id,difficulty,stem,option_a,option_b,option_c,option_d,correct_option,explanation,icai_reference
ca-inter-audit/foundations-planning/ch01,easy,The primary objective of an audit of financial statements is to:,Detect all frauds and errors in the financial statements,Express an opinion on whether the financial statements give a true and fair view,Certify the accuracy of every transaction recorded in the books,Prepare financial statements on behalf of management,B,"SA 200 defines the auditor's objective as expressing an opinion on whether the financial statements are prepared in all material respects in accordance with the applicable financial reporting framework.",SA 200 Para 11
ca-inter-audit/foundations-planning/ch01,medium,Which of the following best describes professional scepticism as defined in SA 200?,Assuming that management is dishonest in all circumstances,An attitude that includes a questioning mind and critical assessment of audit evidence,Verifying every transaction without regard to materiality,Relying solely on prior-year audit findings for current-year conclusions,B,"Professional scepticism involves a questioning mind being alert to conditions indicating possible misstatement and critical assessment of evidence — not blanket distrust of management.",SA 200 Para 13(l)
ca-inter-audit/foundations-planning/ch02,easy,An audit programme is best described as:,A letter sent to the client outlining audit fees,"A set of instructions for the audit team detailing the nature timing and extent of audit procedures","A summary of the auditor's final report",The schedule of meetings between the auditor and management,B,"An audit programme documents the planned audit procedures providing instructions to the team on what to do when and to what extent.",
ca-inter-audit/foundations-planning/ch02,medium,Overall audit strategy differs from the audit plan in that the overall strategy:,Contains detailed procedures for each account balance,"Sets the scope timing and direction and guides the development of the audit plan",Is prepared after the completion of fieldwork,Is restricted to the assessment of internal controls,B,"SA 300 distinguishes the overall audit strategy (high-level direction) from the audit plan (detailed procedures). The strategy is set first and guides the plan.",SA 300
ca-inter-audit/foundations-planning/ch03,easy,Which of the following is NOT a characteristic of sufficient appropriate audit evidence?,It is relevant to the assertion being tested,It is reliable depending on its source and nature,It is prepared by the auditor directly,It provides a basis for the auditor's conclusions,C,"Sufficiency and appropriateness relate to quantity and quality. Audit evidence need not be prepared by the auditor — it includes third-party confirmations and physical inspection.",SA 500
ca-inter-audit/foundations-planning/ch03,medium,Audit documentation must be retained for a minimum of how many years after the date of the auditor's report as per ICAI guidelines?,3 years,5 years,7 years,10 years,C,"ICAI standards require retention of audit documentation for at least 7 years from the date of the auditor's report.",SA 230 SQC 1
ca-inter-audit/risk-controls/ch04,medium,Inherent risk is best defined as:,The risk that a material misstatement will not be prevented or detected by internal controls,The susceptibility of an assertion to a material misstatement before considering any related controls,The risk that the auditor's procedures will not detect a material misstatement,The risk arising from the auditor issuing an incorrect opinion,B,"Inherent risk is the susceptibility of an assertion to misstatement — assuming no related internal controls exist.",SA 315
ca-inter-audit/risk-controls/ch04,hard,Which COSO component is primarily concerned with the organisational structure and assignment of authority and responsibility?,Control Activities,Control Environment,Risk Assessment,Monitoring Activities,B,"The Control Environment sets the tone of the organisation and includes governance management philosophy and assignment of authority.",
ca-inter-audit/risk-controls/ch05,easy,"According to SA 240 responsibility for the prevention and detection of fraud rests primarily with:",The external auditor,The internal auditor,Those charged with governance and management,Regulatory authorities,C,"SA 240 is explicit: primary responsibility for fraud prevention and detection lies with those charged with governance and management.",SA 240 Para 4
ca-inter-audit/risk-controls/ch05,medium,The fraud triangle consists of:,"Motive Opportunity and Rationalisation","Intent Capability and Concealment","Greed Weakness and Pressure","Risk Control and Detection",A,"The fraud triangle identifies three conditions: pressure/motive opportunity and rationalisation.",
ca-inter-audit/risk-controls/ch06,medium,General IT controls (GITCs) are distinguished from application controls in that GITCs:,Apply to a single application or transaction type,Operate across all IT systems and applications in the organisation,Are implemented by end-users rather than IT staff,Only relate to data entry validation,B,"GITCs pervasively affect all applications. Application controls are specific to individual systems or processes.",
ca-inter-audit/risk-controls/ch06,hard,"In an IT environment which of the following represents the GREATEST risk to data integrity?",Lack of physical security for servers,Inadequate IT change management procedures,Slow internet connectivity,Use of cloud storage instead of on-premises servers,B,"Poor change management means unauthorised or untested changes can be deployed to production systems directly threatening data integrity.",
ca-inter-audit/execution-procedures/ch07,easy,Sampling risk in audit sampling refers to:,The risk that the auditor selects an inappropriate sampling method,"The risk that the auditor's conclusion based on a sample differs from the conclusion if the entire population were tested",The risk of arithmetic errors in the sample selection,The risk that the population contains undetected errors,B,"Sampling risk arises from testing only a portion of the population. Even a well-drawn sample may not perfectly represent the population.",SA 530
