chapter_id,difficulty,stem,option_a,option_b,option_c,option_d,correct_option,explanation,icai_reference
ca-final-afm/derivatives/ch09,easy,What is the primary characteristic that defines a derivative contract?,It is a loan agreement between two financial institutions,"Its value is derived from an underlying asset such as equity, commodity, or currency",It guarantees a fixed return irrespective of market conditions,It directly transfers ownership of an underlying asset immediately,B,"A derivative is a contract whose value is derived from an underlying asset — which can be equity, commodity, currency, interest rate, etc. It does not transfer ownership immediately nor guarantee fixed returns.","ICAI AFM Study Material — Chapter: Derivatives Analysis & Valuation, Part I"
ca-final-afm/derivatives/ch09,easy,"A company enters into a contract to purchase 1,000 kg of cotton at ₹150/kg three months from now, with actual delivery of cotton expected at settlement. This is best described as a derivative entered into for:",Upside betting on cotton prices,Speculative shorting of commodity prices,Cash settlement purposes,Doing a transaction on a future date with settlement by delivery,D,"When a derivative is entered into for transacting on a future date with actual delivery of the underlying asset, it is a delivery-based contract — not a cash-settled speculative bet.","ICAI AFM Study Material — Chapter: Derivatives Analysis & Valuation, Part I"
ca-final-afm/derivatives/ch09,easy,"An investor buys a derivative contract expecting the price of a stock to rise, with no intention of acquiring the stock — settlement will happen in cash. This is best classified as:",Upside betting on the price of the underlying asset,A currency swap for risk management,A delivery-based forward contract,A commodity hedge with physical settlement,A,"When an investor takes a position expecting price rise with no intent of physical delivery and settlement happens in cash, this is upside betting on the underlying asset's price — a speculative derivative use.","ICAI AFM Study Material — Chapter: Derivatives Analysis & Valuation, Part I"
ca-final-afm/derivatives/ch09,easy,Which of the following statements about settlement of derivative contracts is most accurate?,Settlement method is determined solely by the type of underlying asset,"Generally, cash settlement is the norm across derivative contracts regardless of purpose",All derivative contracts are settled by physical delivery of the underlying asset,"Cash settlement is done only in speculative contracts, never in hedging contracts",B,"Although derivative contracts can theoretically be settled by delivery or cash, in practice cash settlement is the general norm across all derivative contracts.","ICAI AFM Study Material — Derivatives Analysis & Valuation, Part I"
ca-final-afm/derivatives/ch09,easy,A trader has no existing position in any stock but enters a futures contract betting that Reliance's share price will fall. He plans to profit from the price decline and settle in cash. He is best classified as a:,Hedger,Arbitrageur,Market Maker,Speculator,D,"A speculator has no existing exposure/risk but enters a derivative contract to earn profit by betting on price movement. Since this trader has no underlying position and is purely betting on a price fall, he is a speculator.","ICAI AFM Study Material — Derivatives Analysis & Valuation, Part I"
ca-final-afm/derivatives/ch09,easy,"An exporter has a receivable of USD 1,00,000 due in 3 months and enters a currency forward contract to sell USD at today's rate. Which category of derivative market participant does this exporter represent?",Market Maker,Arbitrageur,Speculator,Hedger,D,A hedger already has an existing exposure (risk) — here the exporter is exposed to USD depreciation risk — and uses a derivative to eliminate that risk. This is the defining characteristic of a hedger.,"ICAI AFM Study Material — Derivatives Analysis & Valuation, Part I"
ca-final-afm/derivatives/ch10,medium,"Nifty futures are trading at ₹19,800 on NSE while simultaneously quoting at ₹19,820 on BSE. A participant buys on NSE and sells on BSE simultaneously, locking in a riskless ₹20 profit per unit with no prior market exposure. This participant is best described as:",A speculator taking a bullish view,An arbitrageur exploiting market mispricing,A market maker providing liquidity,A hedger eliminating index risk,B,An arbitrageur has no existing exposure but exploits mispricing across markets to earn riskless profit. The simultaneous buy-low-sell-high across exchanges with no directional bet is the hallmark of arbitrage.,"ICAI AFM Study Material — Derivatives Analysis & Valuation, Part I"
ca-final-afm/derivatives/ch10,easy,A futures contract on USD/INR exchange rate would be classified under which category of derivatives based on underlying asset?,Equity Derivative,Currency Derivative,Other Derivative,Commodity Derivative,B,"Derivatives are classified by underlying asset. A USD/INR futures contract has currency as the underlying asset, making it a Currency Derivative — also referred to as FOREX derivative in the AFM curriculum.","ICAI AFM Study Material — Derivatives Analysis & Valuation, Part I"
ca-final-afm/derivatives/ch10,easy,Which of the following best distinguishes a Futures contract from a Forward contract?,Futures contracts are traded on a stock exchange while forward contracts are OTC,Futures contracts do not create any obligation on either party,Futures contracts involve physical delivery while forward contracts are always cash settled,Forward contracts are traded on a stock exchange while futures are OTC,A,Forwards and futures are economically similar contracts but differ in trading venue. Forwards are Over-The-Counter (OTC) bilateral agreements while futures are standardised contracts traded on a stock exchange.,"ICAI AFM Study Material — Derivatives Analysis & Valuation, Part II"
ca-final-afm/derivatives/ch10,easy,"A forward contract was entered into between Company A and Company B for purchase of 500 shares at ₹300 each after 60 days. On maturity, the market price is ₹270. Company A wants to back out of the deal. Which statement is correct?",Company A can exit since the contract is loss-making for it,Only the seller (Company B) is obligated; the buyer has the option to exit,Both parties are obligated to fulfil the contract regardless of market price,Company B must release Company A since market price has fallen,C,Forwards and futures create obligation on both parties — each party must fulfil their promise in any case with no choice to exit. This distinguishes them from options where only the seller is obligated.,"ICAI AFM Study Material — Derivatives Analysis & Valuation, Part II"
